Hawaii Ocean Time-series : 29-Apr-2024 01:18:44
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, hplc, 
#, mmddyy, hhmmss, dbar, ng/l, 
0250201311, 041191, 094209,  102.2, 236.0,
0250201308, 041191, 094043,  107.2, 294.0,
0250201307, 041191, 093956,  117.0, 290.0,
0250201306, 041191, 093800,  131.4, 155.0,
0250201305, 041191, 093707,  140.5, 110.0,
0250201304, 041191, 093601,  155.7,  51.0,
0250201303, 041191, 093443,  181.0,  23.0,
0260200722, 050991, 122528,   25.4,  79.0,
0260200721, 050991, 122420,   47.7,  79.0,
0260200720, 050991, 122246,   80.5,  89.0,
0260200719, 050991, 122028,  104.5, 123.0,
0260200718, 050991, 121830,  113.5, 143.0,
0260200716, 050991, 121705,  125.7, 180.0,
0260200714, 050991, 121527,  134.9, 261.0,
0260200713, 050991, 121435,  138.9, 260.0,
0260200712, 050991, 121344,  140.6, 264.0,
0260200709, 050991, 121247,  140.8, 267.0,
0260200708, 050991, 121058,  143.0, 265.0,
0260200707, 050991, 120937,  152.2, 285.0,
0260200703, 050991, 120355,  179.9, 127.0,
0260200923, 050991, 213430,    6.7,  65.0,
0260200922, 050991, 213332,   21.1,  75.0,
0260200921, 050991, 213246,   27.1,  92.0,
0260200920, 050991, 213157,   31.7,  88.0,
0260200919, 050991, 213105,   36.2,  84.0,
0260200918, 050991, 213000,   40.8,  87.0,
0260200917, 050991, 212810,   47.8,  92.0,
0260200916, 050991, 212702,   52.8,  96.0,
0260200915, 050991, 212516,   57.6, 103.0,
0260200913, 050991, 212253,   73.6, 112.0,
0260200912, 050991, 212154,   79.4, 141.0,
0260200911, 050991, 212041,   94.5, 181.0,
0260200910, 050991, 211946,  104.4, 185.0,
0270200720, 060591, 101708,    6.1,  77.0,
0270200714, 060591, 101422,   27.4,  81.0,
0270200713, 060591, 101244,   50.5,  93.0,
0270200712, 060591, 101127,   79.8, 174.0,
0270200711, 060591, 101017,  105.8, 277.0,
0270200710, 060591, 100853,  132.1, 333.0,
0270200708, 060591, 100744,  141.0, 168.0,
0270200706, 060591, 100611,  157.1, 104.0,
0270200705, 060591, 100502,  184.4,  56.0,
0280200617, 071091, 105929,    8.8,  55.0,
0280200616, 071091, 105829,   28.1,  58.0,
0280200615, 071091, 105727,   50.0,  80.0,
0280200614, 071091, 105630,   77.5, 179.0,
0280200613, 071091, 105544,   98.0, 248.0,
0280200612, 071091, 105447,  110.0, 258.0,
0280200611, 071091, 105335,  120.2, 239.0,
0280200607, 071091, 105202,  130.9, 137.0,
0280200606, 071091, 105100,  139.0, 121.0,
0280200605, 071091, 104952,  154.7,  63.0,
0280200604, 071091, 104951,  181.7,  26.0,
0280200603, 071091, 104825,  207.7,   8.0,
0280201623, 071291, 064107,   24.0,  75.0,
0280201622, 071291, 064041,   23.9,  67.0,
0280201617, 071291, 063652,   75.7, 216.0,
0280201614, 071291, 063435,  100.1, 285.0,
0280201613, 071291, 063411,  100.7, 282.0,
0280201611, 071291, 063235,  119.7, 294.0,
0280201610, 071291, 063209,  120.1, 286.0,
0280201607, 071291, 062937,  155.8,  77.0,
0280201606, 071291, 062902,  155.4,  71.0,
0290201214, 081191, 072934,    5.8,  58.0,
0290201213, 081191, 072840,   24.9,  56.0,
0290201212, 081191, 072739,   49.4,  73.0,
0290201211, 081191, 072633,   77.2, 148.0,
0290201210, 081191, 072533,  101.8, 247.0,
0290201209, 081191, 072446,  111.8, 279.0,
0290201208, 081191, 072405,  117.0, 275.0,
0290201206, 081191, 072219,  131.2, 251.0,
0290201205, 081191, 072107,  155.1, 117.0,
0290201204, 081191, 071952,  184.1,  27.0,
0290201203, 081191, 071728,  213.7,   5.0,
0300201515, 091991, 095901,   13.5,  67.0,
0300201512, 091991, 095716,   33.1,  81.0,
0300201511, 091991, 095701,   32.8,  74.0,
0300201510, 091991, 095600,   52.2, 117.0,
0300201509, 091991, 095443,   81.6, 218.0,
0300201508, 091991, 095327,  107.2, 293.0,
0300201507, 091991, 095310,  107.3, 289.0,
0300201506, 091991, 095151,  132.5, 163.0,
0300201503, 091991, 094710,  186.2,  40.0,
0320201820, 120891, 071943,    5.5, 123.0,
