Hawaii Ocean Time-series : 07-Sep-2023 21:39:02
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, p15n, 
#, mmddyy, hhmmss, dbar, permil, 
1360200613, 031302, 034815,   44.5,   0.18,
1360200612, 031302, 034811,   74.8,   0.38,
1360200610, 031302, 034519,   99.8,   0.16,
1360200609, 031302, 034353,  124.3,   0.55,
1360200608, 031302, 034225,  148.5,   2.48,
1360200607, 031302, 034034,  173.9,   5.18,
1360200606, 031302, 033739,  199.5,   4.65,
1370200515, 052102, 035456,    4.3,   0.45,
1370200514, 052102, 035332,   25.2,   0.79,
1370200513, 052102, 035211,   44.9,   0.77,
1370200512, 052102, 035036,   75.1,   0.73,
1370200510, 052102, 034751,  124.3,  -0.10,
1370200509, 052102, 034626,  150.5,   3.70,
1370200507, 052102, 034432,  174.2,   5.63,
1380200321, 062902, 215038,    4.4,   1.68,
1380200317, 062902, 214848,   24.0,  -0.07,
1380200315, 062902, 214718,   44.3,  -0.65,
1380200314, 062902, 214559,   74.0,  -0.15,
1380200313, 062902, 214438,   99.4,  -0.35,
1380200311, 062902, 214313,  123.8,  -0.06,
1380200309, 062902, 214143,  149.4,   3.00,
1380200307, 062902, 214018,  174.6,   4.76,
1380200306, 062902, 213902,  199.4,   4.93,
1390200516, 082802, 041610,    5.0,   1.82,
1390200514, 082802, 041435,   24.2,   0.43,
1390200513, 082802, 041255,   45.6,  -0.48,
1390200511, 082802, 041025,   74.5,   1.94,
1390200510, 082802, 040835,  100.4,   0.10,
1390200509, 082802, 040645,  123.0,   0.36,
1390200508, 082802, 040415,  149.6,   1.57,
1390200507, 082802, 040151,  174.8,   3.15,
1400200516, 100702, 041006,    5.3,  -0.28,
1400200515, 100702, 040801,   25.7,  -0.15,
1400200514, 100702, 040601,   44.9,   0.36,
1400200513, 100702, 040317,   75.2,  -0.71,
1400200510, 100702, 035842,  101.0,  -0.93,
1400200509, 100702, 035611,  126.1,   0.07,
1400200508, 100702, 035411,  151.3,   2.34,
1400200507, 100702, 035206,  177.0,   3.62,
1410200514, 110402, 035144,    4.9,   0.38,
1410200513, 110402, 035029,   24.6,  -0.63,
1410200512, 110402, 034930,   44.6,   0.08,
1410200511, 110402, 034819,   75.1,   0.56,
1410200510, 110402, 034719,   99.9,  -0.55,
1410200509, 110402, 034619,  125.3,   0.90,
1410200508, 110402, 034519,  150.0,   5.57,
1410200507, 110402, 034419,  175.3,   4.46,
1410200506, 110402, 034319,  199.4,   4.33,
1420200514, 112502, 035622,    4.0,  -0.24,
1420200513, 112502, 035452,   24.8,  -0.03,
1420200512, 112502, 035316,   44.9,  -0.75,
1420200510, 112502, 034931,   99.4,   0.72,
1420200509, 112502, 034737,  124.8,   1.91,
1420200508, 112502, 034601,  149.9,   6.04,
1420200507, 112502, 034421,  174.3,   4.88,
1420200506, 112502, 034231,  199.4,   4.41,
1430200514, 121902, 035116,    4.9,  -1.24,
1430200513, 121902, 034951,   24.7,  -0.58,
1430200512, 121902, 034821,   43.8,  -0.61,
1430200511, 121902, 034656,   76.1,   1.04,
1430200510, 121902, 034536,  100.3,   0.40,
1430200509, 121902, 034416,  124.4,  -0.20,
1430200508, 121902, 034301,  150.1,   4.16,
1430200507, 121902, 034136,  174.9,   4.54,
1430200506, 121902, 034011,  199.5,   5.63,
1440200415, 011703, 034929,    4.4,  -1.28,
1440200414, 011703, 034824,   25.0,  -1.10,
1440200413, 011703, 034724,   43.3,  -1.09,
1440200412, 011703, 034614,   73.7,  -1.07,
1440200411, 011703, 034459,  101.0,  -0.73,
1440200410, 011703, 034344,  125.6,   1.46,
1440200408, 011703, 034229,  147.9,   4.24,
1440200407, 011703, 034114,  174.2,   4.19,
1440200406, 011703, 033959,  199.5,   4.67,
1450200516, 022603, 040514,    4.8,   0.38,
1450200515, 022603, 040344,   24.0,   0.48,
1450200513, 022603, 040119,   45.0,  -1.04,
1450200512, 022603, 035945,   73.5,  -1.19,
1450200511, 022603, 035809,   98.7,   0.23,
1450200509, 022603, 035414,  125.6,   0.54,
1450200508, 022603, 035214,  148.3,   3.85,
1450200507, 022603, 035040,  173.1,   4.94,
1450200506, 022603, 034904,  199.0,   3.04,
1460200514, 032903, 040920,    8.9,  -2.52,
1460200513, 032903, 040741,   25.4,  -1.74,
1460200512, 032903, 040540,   44.2,  -1.63,
1460200511, 032903, 040341,   74.9,  -0.82,
1460200510, 032903, 040125,   99.9,  -2.08,
1460200509, 032903, 035855,  123.6,   0.49,
1460200508, 032903, 035642,  148.8,   1.71,
1460200507, 032903, 035441,  175.4,   3.96,
1470200514, 042403, 035828,    4.1,  -0.76,
1470200513, 042403, 035707,   24.9,  -1.63,
1470200512, 042403, 035558,   44.1,  -0.95,
1470200511, 042403, 035417,   74.8,  -1.18,
1470200510, 042403, 035237,   99.4,   0.50,
1470200509, 042403, 035127,  124.2,   0.51,
1470200508, 042403, 034957,  148.6,  -1.38,
1470200507, 042403, 034837,  173.5,   2.33,
1470200506, 042403, 034713,  199.0,   4.56,
1480200514, 052103, 035504,    4.2,  -1.01,
1480200513, 052103, 035329,   24.3,  -0.73,
1480200512, 052103, 035159,   43.9,  -1.35,
1480200511, 052103, 035029,   74.2,  -1.55,
1480200509, 052103, 034724,  124.9,   0.15,
1480200508, 052103, 034544,  149.8,  -0.22,
1480200507, 052103, 034419,  174.7,   3.63,
1480200506, 052103, 034239,  199.5,   2.82,
1490200514, 061903, 035700,    5.0,  -0.05,
1490200513, 061903, 035545,   25.0,  -0.89,
1490200512, 061903, 035430,   45.0,  -2.51,
1490200511, 061903, 035320,   74.3,  -1.35,
1490200510, 061903, 035215,   99.8,  -1.12,
1490200509, 061903, 035100,  125.1,   1.67,
1490200508, 061903, 034945,  149.6,   3.61,
1490200507, 061903, 034830,  174.9,   3.99,
1490200506, 061903, 034715,  199.6,   4.50,
1500200514, 072003, 035037,    4.4,  -0.07,
1500200513, 072003, 034937,   24.3,  -0.29,
1500200512, 072003, 034838,   44.2,  -0.86,
1500200511, 072003, 034722,   74.3,  -1.00,
1500200510, 072003, 034622,   99.2,   0.10,
1500200509, 072003, 034507,  124.1,   1.29,
1500200508, 072003, 034407,  149.6,   3.09,
1500200507, 072003, 034252,  175.9,   4.96,
1510200517, 082103, 035547,    4.9,   2.60,
1510200516, 082103, 035436,   24.4,   3.43,
1510200515, 082103, 035321,   44.4,   1.24,
1510200514, 082103, 035151,   74.2,   1.39,
1510200510, 082103, 034907,  100.2,   1.65,
1510200509, 082103, 034717,  124.3,   2.66,
1510200508, 082103, 034611,  149.6,   4.49,
1510200507, 082103, 034501,  175.0,   5.57,
1520200514, 101503, 041900,    4.3,  -0.34,
1520200513, 101503, 041725,   23.7,  -0.10,
1520200512, 101503, 041600,   44.4,  -0.29,
1520200511, 101503, 041420,   75.0,  -0.31,
1520200510, 101503, 041300,   99.4,   1.35,
1520200509, 101503, 041135,  125.1,   3.04,
1520200508, 101503, 041010,  150.6,   5.59,
1520200507, 101503, 040835,  175.5,   5.67,
1520200506, 101503, 040705,  199.1,   6.26,
1530200514, 111003, 040250,    5.3,  -0.30,
1530200513, 111003, 040100,   25.7,   0.10,
1530200512, 111003, 035830,   45.7,  -0.05,
1530200511, 111003, 035550,   76.8,   0.54,
1530200510, 111003, 035335,  101.2,   0.84,
1530200509, 111003, 035150,  125.3,   1.79,
1530200508, 111003, 034945,  150.2,   4.61,
1530200507, 111003, 034805,  174.4,   6.44,
1540200414, 122003, 040311,    4.4,   0.09,
1540200413, 122003, 040239,   23.1,  -0.31,
1540200412, 122003, 040039,   45.0,  -0.64,
1540200411, 122003, 035823,   75.0,  -0.52,
1540200410, 122003, 035637,   99.0,   0.54,
1540200409, 122003, 035449,  124.7,   3.52,
1540200408, 122003, 035309,  148.8,   5.67,
1540200407, 122003, 035140,  167.3,   5.59,
1540200406, 122003, 034945,  198.4,   6.39,
1550200514, 012204, 035701,    4.4,  -0.47,
1550200513, 012204, 035545,   23.5,  -0.15,
1550200512, 012204, 035430,   43.6,   0.01,
1550200511, 012204, 035305,   73.3,  -0.16,
1550200510, 012204, 035140,   99.6,  -0.29,
1550200509, 012204, 035025,  123.5,   0.66,
1550200508, 012204, 034900,  148.7,   3.41,
1550200507, 012204, 034745,  173.7,   5.24,
1550200506, 012204, 034620,  197.3,   6.32,
1560200514, 022504, 034517,    4.0,   4.13,
1560200513, 022504, 034411,   23.8,   3.64,
1560200512, 022504, 034307,   44.1,   2.92,
1560200511, 022504, 034156,   74.5,   2.60,
1560200510, 022504, 034051,   99.5,   2.93,
1560200509, 022504, 033936,  125.0,   3.50,
1560200508, 022504, 033831,  147.2,   5.21,
1560200507, 022504, 033721,  173.9,   6.88,
1560200506, 022504, 033611,  199.5,   7.90,
1570200514, 032004, 041051,    3.3,   4.20,
1570200513, 032004, 040906,   25.1,   3.78,
1570200512, 032004, 040732,   43.4,   3.62,
1570200511, 032004, 040537,   76.0,   3.65,
1570200510, 032004, 040341,   99.9,   3.75,
1570200509, 032004, 040201,  124.7,   3.66,
1570200508, 032004, 040016,  148.4,   2.53,
1570200507, 032004, 035836,  173.7,   6.28,
1570200506, 032004, 035642,  199.8,   8.60,
1580200514, 042104, 040221,    4.1,   2.17,
1580200513, 042104, 040041,   24.4,   2.21,
1580200512, 042104, 035907,   44.4,   1.63,
1580200511, 042104, 035721,   74.4,   1.58,
1580200510, 042104, 035541,   99.4,   2.29,
1580200509, 042104, 035411,  124.5,   2.98,
1580200508, 042104, 035241,  148.7,   1.91,
1580200507, 042104, 035112,  174.6,   5.91,
1580200506, 042104, 034912,  198.7,   6.13,
1590200514, 051904, 035102,    4.1,   2.75,
1590200513, 051904, 034942,   23.9,   3.21,
1590200512, 051904, 034843,   43.7,   3.52,
1590200511, 051904, 034658,   73.9,   3.87,
1590200510, 051904, 034523,   98.9,   3.98,
1590200509, 051904, 034358,  124.4,   5.38,
1590200508, 051904, 034233,  150.8,   6.05,
1590200507, 051904, 034123,  174.7,   7.78,
1600200614, 061604, 034718,    4.1,   0.01,
1600200613, 061604, 034557,   24.5,  -0.35,
1600200612, 061604, 034453,   43.5,   0.62,
1600200611, 061604, 034342,   73.7,   0.69,
1600200610, 061604, 034222,   99.1,   0.10,
1600200609, 061604, 034122,  123.9,   1.50,
1600200608, 061604, 034012,  149.2,   2.99,
1600200607, 061604, 033912,  174.3,   2.94,
1610200423, 071404, 015234,    4.9,   0.56,
1610200420, 071404, 015043,   24.8,   0.18,
1610200417, 071404, 014834,   43.1,  -0.27,
1610200414, 071404, 014653,   74.9,  -0.44,
1610200411, 071404, 014503,   99.8,   0.64,
