Hawaii Ocean Time-series : 05-Sep-2023 23:00:10
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, doc, 
#, mmddyy, hhmmss, dbar, umol/kg, 
0730200607, 062696, 064801,  159.0,  77.63,
0730200606, 062696, 064637,  174.6,  75.39,
0730200605, 062696, 064531,  184.6,  72.56,
0740200622, 072796, 065559,    4.5,  93.88,
0740200621, 072796, 065505,   14.4,  88.02,
0740200619, 072796, 065405,   24.3,  84.60,
0740200618, 072796, 065301,   33.9,  87.04,
0740200617, 072796, 065203,   44.6,  81.33,
0740200616, 072796, 065111,   58.9,  78.05,
0740200615, 072796, 065009,   74.8,  71.59,
0740200614, 072796, 064917,   84.5,  66.90,
0740200613, 072796, 064817,   95.1,  71.88,
0740200612, 072796, 064729,  103.8,  69.19,
0740200611, 072796, 064629,  113.7,  70.31,
0740200610, 072796, 064535,  124.2,  69.09,
0740200609, 072796, 064439,  134.2,  63.86,
0740200607, 072796, 064301,  150.2,  60.15,
0740200605, 072796, 064117,  174.3,  60.65,
0740200603, 072796, 063927,  199.9,  58.69,
0750200623, 082196, 080151,    5.2, 102.66,
0750200622, 082196, 080029,   14.8,  97.98,
0750200620, 082196, 075919,   25.2,  94.26,
0750200619, 082196, 075829,   34.6,  92.21,
0750200618, 082196, 075721,   44.9,  87.23,
0750200617, 082196, 075618,   59.8,  80.68,
0750200616, 082196, 075507,   74.5,  76.57,
0750200615, 082196, 075405,   84.6,  75.29,
0750200614, 082196, 075259,   95.0,  71.78,
0750200613, 082196, 075203,  104.4,  69.09,
0750200612, 082196, 075105,  114.2,  72.46,
0750200611, 082196, 075007,  125.3,  69.04,
0750200610, 082196, 074851,  135.7,  68.46,
0750200609, 082196, 074727,  150.4,  66.89,
0750200607, 082196, 074509,  176.0,  62.99,
0750200605, 082196, 074259,  199.8,  61.53,
0760200624, 100296, 065924,    3.8, 103.24,
0760200622, 100296, 065822,   14.2, 102.94,
0760200620, 100296, 065723,   24.2,  99.72,
0760200619, 100296, 065626,   34.9, 106.46,
0760200618, 100296, 065540,   43.6, 102.94,
