Hawaii Ocean Time-series : 12-Sep-2023 23:47:19
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, pbact, 
#, mmddyy, hhmmss, dbar, #*1e5/ml, 
2060200204, 113008, 133357,  147.5,  0.168,
2060200203, 113008, 133157,  175.0,  0.008,
2080200222, 012009, 132948,    6.6,  1.970,
2080200218, 012009, 132623,   24.6,  2.060,
2080200215, 012009, 132432,   45.3,  2.000,
2080200212, 012009, 132244,   74.4,  2.067,
2080200209, 012009, 132047,   99.6,  1.930,
2080200205, 012009, 131842,  125.3,  0.367,
2080200204, 012009, 131707,  150.4,  0.232,
2080200203, 012009, 131532,  175.0,  0.009,
2090200222, 021709, 130227,    6.7,  1.198,
2090200218, 021709, 125947,   24.8,  1.230,
2090200215, 021709, 125757,   45.4,  1.259,
2090200212, 021709, 125557,   74.9,  1.283,
2090200209, 021709, 125407,  100.0,  0.570,
2090200205, 021709, 125147,  126.0,  0.373,
2090200204, 021709, 125037,  150.0,  0.057,
2090200203, 021709, 124927,  173.9,  0.009,
2100200222, 042809, 123028,    5.0,  1.604,
2100200218, 042809, 122742,   25.0,  1.978,
2100200215, 042809, 122457,   44.7,  2.402,
2100200212, 042809, 122144,   75.0,  2.330,
2100200209, 042809, 121927,   99.8,  1.274,
2100200205, 042809, 121630,  125.1,  0.270,
2100200204, 042809, 121412,  150.1,  0.138,
2100200203, 042809, 121217,  175.2,  0.025,
2110200120, 052709, 134033,    7.2,  1.847,
2110200117, 052709, 133909,   27.1,  1.925,
2110200114, 052709, 133754,   47.0,  1.796,
2110200111, 052709, 133548,   76.9,  2.269,
2110200108, 052709, 133400,  101.9,  1.132,
2110200105, 052709, 133228,  126.7,  0.470,
2110200104, 052709, 132928,  151.7,  0.210,
2110200103, 052709, 132823,  176.8,  0.085,
2120200222, 070309, 130851,    8.2,  1.770,
2120200219, 070309, 130531,   25.1,  1.751,
2120200216, 070309, 130347,   44.7,  2.190,
2120200213, 070309, 130140,   74.4,  2.475,
2120200210, 070309, 125906,  100.1,  1.725,
2120200207, 070309, 125547,  125.9,  0.693,
2120200204, 070309, 125221,  150.1,  0.237,
2120200203, 070309, 124959,  175.3,  0.162,
2130200220, 072409, 132508,    7.6,  1.583,
2130200217, 072409, 132139,   24.9,  1.610,
2130200214, 072409, 131943,   45.1,  2.021,
2130200211, 072409, 131734,   75.4,  2.793,
2130200208, 072409, 131538,   99.9,  1.812,
2130200205, 072409, 131348,  124.9,  0.382,
2130200202, 072409, 131138,  150.2,  0.138,
2130200201, 072409, 131003,  175.3,  0.018,
2140200220, 081809, 130728,    8.3,  1.778,
2140200217, 081809, 130328,   24.5,  1.575,
2140200214, 081809, 130057,   46.1,  2.287,
2140200211, 081809, 125828,   75.0,  1.503,
2140200208, 081809, 125612,  100.7,  1.490,
2140200205, 081809, 125339,  124.4,  0.503,
2140200204, 081809, 125053,  151.3,  0.194,
2140200203, 081809, 124834,  176.0,  0.082,
2150200218, 092409, 134950,    5.4,  2.461,
2150200215, 092409, 134744,   25.1,  2.781,
2150200212, 092409, 134509,   44.6,  2.667,
2150200209, 092409, 134300,   74.7,  2.461,
2150200206, 092409, 133959,   99.8,  0.805,
2150200203, 092409, 133812,  125.2,  0.310,
2150200202, 092409, 133632,  150.2,  0.038,
2150200201, 092409, 133249,  176.7,  0.040,
2160200219, 110309, 141950,    4.6,  2.124,
2160200215, 110309, 141744,   24.0,  2.224,
2160200212, 110309, 141554,   44.7,  2.116,
2160200209, 110309, 141354,   75.2,  2.679,
2160200206, 110309, 141159,   99.4,  1.061,
2160200203, 110309, 140949,  127.0,  0.378,
2160200202, 110309, 140819,  149.6,  0.059,
2160200201, 110309, 140639,  171.4,  0.029,
2170200220, 120909, 131327,    4.7,  2.777,
2170200217, 120909, 131207,   24.4,  2.822,
2170200214, 120909, 131051,   44.3,  2.711,
2170200211, 120909, 130926,   75.0,  2.058,
2170200208, 120909, 130757,   99.9,  0.789,
2170200205, 120909, 130636,  126.5,  0.304,
2170200204, 120909, 130517,  151.6,  0.107,
2170200203, 120909, 130411,  175.5,  0.031,
2190200522, 031010, 183350,    4.7,  2.003,
2190200519, 031010, 183121,   25.5,  1.989,
2190200517, 031010, 182852,   45.6,  1.914,
2190200515, 031010, 182621,   75.3,  1.878,
2190200512, 031010, 182306,  101.3,  1.457,
2190200509, 031010, 181952,  125.4,  0.273,
2190200507, 031010, 181706,  150.8,  0.083,
