Hawaii Ocean Time-series : 08-Sep-2023 01:30:10
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, chl3, 
#, mmddyy, hhmmss, dbar, ng/l, 
0460200917, 041593, 072714,  109.2,   9.0,
0460200916, 041593, 072534,  114.1,   8.0,
0460200911, 041593, 071518,  119.5,  15.0,
0460200910, 041593, 071311,  124.6,  24.0,
0460200909, 041593, 071047,  135.1,  23.0,
0460200908, 041593, 070838,  149.8,  14.0,
0460200903, 041593, 065936,  173.1,   6.0,
0470200324, 052093, 075149,    6.7,   2.0,
0470200323, 052093, 075043,   24.5,   1.0,
0470200322, 052093, 074926,   45.1,   1.0,
0470200321, 052093, 074754,   75.7,   3.0,
0470200320, 052093, 074629,  100.7,   4.0,
0470200319, 052093, 074528,  109.4,   6.0,
0470200318, 052093, 074420,  119.2,   6.0,
0470200317, 052093, 074250,  128.8,   9.0,
0470200316, 052093, 074152,  135.1,  11.0,
0470200311, 052093, 073917,  140.2,  13.0,
0470200310, 052093, 073817,  144.1,   9.0,
0470200309, 052093, 073646,  160.8,   6.0,
0470200308, 052093, 073515,  174.7,   2.0,
0490201720, 091593, 100413,   25.3,   3.0,
0490201715, 091593, 095910,   75.9,   8.0,
0490201714, 091593, 095653,  100.7,   5.0,
0490201713, 091593, 095515,  115.9,  11.0,
0490201712, 091593, 095338,  120.7,  17.0,
0490201711, 091593, 095228,  125.9,   5.0,
0490201710, 091593, 095104,  130.1,   8.0,
0490201709, 091593, 094929,  139.9,  11.0,
0490201708, 091593, 094803,  149.8,   5.0,
0490201707, 091593, 094744,  150.1,   7.0,
0490201705, 091593, 094534,  175.4,   3.0,
0500201419, 103093, 092427,    5.7,   3.0,
0500201417, 103093, 092106,   47.4,   3.0,
0500201416, 103093, 091942,   61.8,   4.0,
0500201415, 103093, 091825,   74.4,   6.0,
0500201414, 103093, 091652,   90.0,   6.0,
0500201413, 103093, 091531,  100.4,  11.0,
0500201412, 103093, 091413,  110.8,  12.0,
0500201411, 103093, 091254,  115.6,  14.0,
0500201410, 103093, 091128,  119.7,   9.0,
0500201409, 103093, 091009,  125.6,   7.0,
