Hawaii Ocean Time-series : 10-Aug-2023 02:48:48
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, phos, 
#, mmddyy, hhmmss, dbar, umol/kg, 
2650200322, 091414, 220603,   79.6,   0.08,
2650200615, 091514, 071045,   75.5,   0.08,
2660200322, 101314, 221501,   79.1,   0.10,
2660200615, 101414, 071254,   75.2,   0.12,
2670200615, 112214, 070418,   75.2,   0.04,
2680200615, 121714, 102143,   75.5,   0.07,
2690200322, 022415, 233831,   75.5,   0.04,
2690200615, 022515, 072641,   74.8,   0.06,
2700200323, 033015, 022732,   73.3,   0.12,
2700200615, 033015, 124936,   74.8,   0.10,
2710200322, 042115, 224804,   70.2,   0.09,
2710200615, 042215, 081840,   75.2,   0.08,
2720200715, 052415, 070426,   75.1,   0.11,
2730200715, 062015, 071607,   74.7,   0.08,
2740200421, 071915, 215330,   70.5,   0.07,
2740200715, 072015, 065822,   75.7,   0.06,
2750200321, 081215, 221251,   78.4,   0.04,
2750200615, 081315, 070006,   75.3,   0.03,
2770200322, 101315, 220623,   74.3,   0.07,
2770200615, 101415, 064556,   75.1,   0.04,
2780200222, 111315, 224753,   70.8,   0.06,
2780200515, 111415, 071153,   74.9,   0.05,
2790200615, 120915, 065708,   74.6,   0.03,
2800200322, 011216, 215507,   75.1,   0.04,
2850200322, 071116, 221929,   79.4,   0.09,
2890200223, 012417, 002437,   79.8,   0.06,
2890200515, 012417, 082706,   73.8,   0.08,
2900200515, 022317, 101942,   75.2,   0.07,
2910200715, 032917, 113551,   75.3,   0.05,
2920200615, 042617, 071606,   75.9,   0.08,
2930200322, 052317, 224457,   74.8,   0.02,
2930200615, 052417, 074716,   74.7,   0.05,
2940200615, 062117, 075057,   75.3,   0.06,
2950200322, 080817, 222608,   74.5,   0.02,
2950200615, 080917, 065646,   75.0,   0.03,
2960200515, 100717, 073057,   76.3,   0.05,
2970200322, 110817, 220346,   74.4,   0.05,
2970200615, 110917, 070923,   75.1,   0.05,
2980200615, 121317, 071240,   74.4,   0.05,
3010200222, 041818, 024741,   75.5,   0.04,
3040200323, 072418, 222111,   72.2,   0.04,
3060200321, 101318, 002022,   70.0,   0.03,
3070200323, 111618, 233453,   76.1,   0.09,
3090200614, 011619, 081807,   73.5,   0.02,
3100200315, 022019, 084202,   75.3,   0.07,
3110200615, 050319, 072417,   74.9,   0.06,
3120200320, 061119, 232419,   79.9,   0.06,
3120200615, 061219, 072455,   75.4,   0.07,
3130200422, 070219, 015936,   79.1,   0.11,
3130200615, 070219, 070846,   74.2,   0.08,
3140200615, 080319, 071020,   75.6,   0.09,
3150200321, 090419, 215446,   75.1,   0.05,
3150200615, 090519, 071701,   73.9,   0.04,
3160200321, 101819, 001552,   74.2,   0.06,
3160200515, 101819, 065413,   73.9,   0.02,
3170200615, 122019, 072903,   75.4,   0.07,
3180200315, 010820, 055149,   75.0,   0.07,
3190200615, 013120, 095714,   74.7,   0.07,
3200200715, 071620, 070034,   74.4,   0.04,
3210200522, 080820, 221202,   75.2,   0.07,
3210200815, 080920, 065241,   74.2,   0.05,
3220200722, 090320, 222245,   72.1,   0.04,
3220201015, 090420, 071125,   74.5,   0.04,
3230200423, 092720, 222539,   80.0,   0.05,
3230200715, 092820, 065634,   75.0,   0.03,
3240200815, 112020, 072256,   74.9,   0.03,
3250200615, 121920, 070732,   73.3,   0.04,
3260200615, 011321, 065540,   75.3,   0.02,
3270200615, 021721, 070014,   76.4,   0.06,
3280200515, 032421, 071305,   72.8,   0.05,
3290200615, 041421, 065921,   73.7,   0.02,
3300200322, 051621, 221245,   75.8,   0.05,
3300200615, 051721, 065049,   73.4,   0.06,
3310200615, 062321, 065801,   74.6,   0.03,
3320200515, 071721, 070503,   75.6,   0.02,
