Hawaii Ocean Time-series : 12-Sep-2023 23:44:31
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, hbact, 
#, mmddyy, hhmmss, dbar, #*1e5/ml, 
2270200320, 112110, 125609,    5.7,  3.037,
2270200317, 112110, 125420,   25.2,  3.996,
2270200314, 112110, 125243,   45.0,  4.231,
2270200311, 112110, 125042,   75.2,  3.989,
2270200308, 112110, 124853,  100.3,  5.073,
2270200305, 112110, 124706,  125.6,  3.912,
2280200218, 010911, 145322,    6.7,  4.111,
2280200215, 010911, 145137,   26.6,  4.161,
2280200212, 010911, 144959,   46.2,  4.206,
2280200209, 010911, 144810,   76.6,  4.137,
2280200207, 010911, 144612,  101.6,  2.802,
2280200203, 010911, 144400,  125.5,  2.458,
2280200202, 010911, 144222,  149.6,  2.125,
2290200920, 012911, 130525,    6.7,  4.483,
2290200917, 012911, 130206,   24.9,  4.621,
2290200914, 012911, 130001,   45.8,  4.434,
2290200911, 012911, 125715,   74.9,  4.413,
2290200908, 012911, 125506,  100.0,  4.228,
2290200905, 012911, 125238,  124.5,  2.539,
2300200220, 022811, 123009,    6.8,  4.400,
2300200217, 022811, 122724,   24.8,  4.305,
2300200214, 022811, 122528,   46.3,  4.441,
2300200208, 022811, 122108,  100.7,  3.769,
2300200205, 022811, 121904,  125.7,  3.260,
2310200220, 041111, 134640,    4.6,  4.474,
2310200217, 041111, 134318,   25.4,  4.680,
2310200214, 041111, 134108,   45.5,  5.110,
2310200211, 041111, 133821,   75.0,  5.021,
2310200208, 041111, 133521,  102.5,  4.560,
2310200206, 041111, 133326,  125.1,  4.113,
2320200218, 050911, 141518,    5.9,  3.996,
2320200215, 050911, 141331,   24.1,  4.152,
2320200212, 050911, 141204,   44.0,  4.193,
2320200209, 050911, 141018,   74.2,  4.649,
2320200206, 050911, 140837,   99.4,  4.299,
2320200203, 050911, 140631,  123.9,  4.286,
2320200202, 050911, 140457,  149.6,  3.049,
2330200218, 071911, 111425,    5.7,  4.813,
2330200215, 071911, 111203,   24.5,  4.909,
2330200212, 071911, 111018,   44.6,  4.871,
2330200209, 071911, 110808,   74.7,  3.543,
2330200206, 071911, 110614,   99.8,  3.847,
2330200203, 071911, 110418,  124.1,  2.924,
2330200202, 071911, 110219,  149.5,  2.945,
2340200820, 083111, 132511,    5.6,  4.231,
2340200817, 083111, 132303,   25.7,  5.216,
2340200814, 083111, 132112,   45.6,  5.543,
2340200811, 083111, 131900,   74.8,  4.095,
2340200808, 083111, 131652,   99.7,  3.539,
2340200805, 083111, 131437,  124.9,  2.689,
2340200804, 083111, 131257,  149.6,  1.763,
2350200620, 092711, 132937,    5.8,  5.591,
2350200617, 092711, 132638,   25.7,  5.663,
2350200614, 092711, 132427,   45.3,  5.100,
2350200611, 092711, 132139,   75.9,  5.357,
2350200608, 092711, 131917,  100.9,  4.729,
2350200605, 092711, 131650,  125.5,  3.997,
2360200222, 110411, 133817,    5.7,  5.061,
2360200219, 110411, 133622,   26.0,  5.158,
