Hawaii Ocean Time-series : 05-Sep-2023 03:23:28
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, sil, 
#, mmddyy, hhmmss, dbar, umol/kg, 
2910200715, 032917, 113551,   75.3,   1.26,
2910200712, 032917, 113322,   99.9,   1.29,
2910200709, 032917, 113032,  126.0,   1.37,
2920200224, 042517, 185326,    5.9,   1.69,
2920200324, 042517, 222116,   43.2,   1.20,
2920200323, 042517, 221956,   69.2,   1.25,
2920200322, 042517, 221831,   96.0,   1.29,
2920200321, 042517, 221649,  138.3,   2.29,
2920200622, 042617, 072147,    4.7,   1.36,
2920200619, 042617, 071941,   25.3,   2.02,
2920200618, 042617, 071857,   34.5,   1.30,
2920200617, 042617, 071802,   45.2,   1.50,
2920200616, 042617, 071708,   60.7,   1.86,
2920200615, 042617, 071606,   75.9,   1.67,
2920200612, 042617, 071317,   99.7,   1.02,
2920200609, 042617, 071027,  125.9,   1.30,
2920200607, 042617, 070816,  149.6,   1.84,
2930200324, 052317, 224903,    6.2,   1.16,
2930200323, 052317, 224618,   48.6,   1.21,
2930200322, 052317, 224457,   74.8,   1.26,
2930200321, 052317, 224329,  108.3,   1.35,
2930200320, 052317, 224202,  136.2,   1.45,
2930200622, 052417, 075330,    5.8,   1.16,
2930200621, 052417, 075236,   15.1,   1.17,
2930200619, 052417, 075116,   25.5,   1.16,
2930200617, 052417, 074920,   45.4,   1.16,
2930200616, 052417, 074816,   59.8,   1.21,
2930200615, 052417, 074716,   74.7,   1.20,
2930200612, 052417, 074431,  109.8,   1.03,
2930200609, 052417, 074235,  124.6,   1.34,
2930200607, 052417, 074101,  149.0,   1.57,
2940200224, 062017, 200152,    7.4,   1.12,
2940200324, 062017, 232851,   44.6,   1.08,
2940200323, 062017, 232630,   82.5,   1.17,
2940200322, 062017, 232446,  100.0,   1.27,
2940200321, 062017, 232242,  127.3,   1.29,
2940200622, 062117, 080236,    7.7,   0.77,
2940200621, 062117, 080036,   17.3,   1.35,
2940200619, 062117, 075827,   25.4,   1.14,
2940200618, 062117, 075630,   35.5,   1.60,
2940200617, 062117, 075506,   45.2,   0.82,
2940200616, 062117, 075316,   60.5,   0.86,
2940200615, 062117, 075057,   75.3,   1.17,
2940200612, 062117, 074555,  100.2,   0.92,
2940200609, 062117, 074047,  125.7,   1.25,
2950200224, 080817, 195428,    5.4,   1.82,
2950200324, 080817, 222802,   41.4,   1.33,
2950200323, 080817, 222702,   59.6,   1.39,
2950200322, 080817, 222608,   74.5,   1.71,
2950200321, 080817, 222510,   90.3,   1.62,
2950200320, 080817, 222347,  129.5,   2.48,
2950200622, 080917, 070156,    5.2,   1.67,
2950200621, 080917, 070111,   14.6,   1.66,
2950200619, 080917, 070021,   24.9,   0.73,
2950200618, 080917, 065935,   34.4,   1.04,
2950200617, 080917, 065836,   45.9,   1.30,
2950200616, 080917, 065747,   60.1,   1.13,
2950200615, 080917, 065646,   75.0,   1.20,
2950200612, 080917, 065426,   99.9,   1.40,
2950200609, 080917, 065207,  125.1,   1.82,
2960200124, 100617, 185957,    6.9,   2.20,
2960200224, 100617, 223006,    6.0,   2.00,
2960200223, 100617, 222841,   25.6,   1.31,
2960200222, 100617, 222651,   54.2,   1.24,
2960200221, 100617, 222456,   80.9,   1.31,
2960200220, 100617, 222206,  146.7,   1.74,
2960200522, 100717, 074107,    7.3,   1.74,
2960200519, 100717, 073728,   26.9,   1.67,
2960200518, 100717, 073605,   35.9,   1.86,
2960200517, 100717, 073430,   46.6,   0.92,
2960200516, 100717, 073246,   60.2,   1.69,
2960200515, 100717, 073057,   76.3,   1.46,
2960200512, 100717, 072647,  102.3,   1.42,
2960200509, 100717, 072243,  124.9,   2.14,
2970200224, 110817, 185058,    4.3,   2.06,
2970200323, 110817, 220551,   40.5,   1.79,
2970200622, 110917, 071723,    4.6,   0.94,
2970200621, 110917, 071618,   16.0,   0.95,
2970200619, 110917, 071448,   25.6,   1.01,
2970200618, 110917, 071333,   35.1,   0.94,
2970200617, 110917, 071222,   44.9,   0.93,
2970200616, 110917, 071053,   60.5,   0.96,
2970200615, 110917, 070923,   75.1,   0.96,
2970200612, 110917, 070603,  100.0,   1.27,
2970200609, 110917, 070218,  126.0,   1.47,
2980200224, 121217, 195901,    5.5,   1.35,
2980200324, 121217, 230048,    5.7,   1.46,
2980200323, 121217, 225819,   59.7,   2.00,
2980200622, 121317, 071715,    5.8,   1.03,
2980200621, 121317, 071630,   15.6,   1.03,
2980200619, 121317, 071545,   25.1,   1.04,
2980200618, 121317, 071505,   34.8,   1.01,
2980200617, 121317, 071425,   45.1,   1.34,
2980200616, 121317, 071330,   60.8,   1.11,
2980200612, 121317, 071031,  101.0,   1.38,
2980200609, 121317, 070810,  124.6,   1.95,
2980200607, 121317, 070655,  149.1,   2.43,
