Hawaii Ocean Time-series : 11-Sep-2023 23:31:13
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, chlc4, 
#, mmddyy, hhmmss, dbar, ng/l, 
0260200720, 050991, 122246,   80.5,   2.0,
0260200719, 050991, 122028,  104.5,   4.0,
0260200718, 050991, 121830,  113.5,   4.0,
0260200716, 050991, 121705,  125.7,   3.0,
0260200714, 050991, 121527,  134.9,   5.0,
0260200713, 050991, 121435,  138.9,   7.0,
0260200712, 050991, 121344,  140.6,   8.0,
0260200709, 050991, 121247,  140.8,   8.0,
0260200708, 050991, 121058,  143.0,   8.0,
0270200720, 060591, 101708,    6.1,   5.0,
0270200714, 060591, 101422,   27.4,   2.0,
0270200713, 060591, 101244,   50.5,   3.0,
0270200712, 060591, 101127,   79.8,   5.0,
0270200711, 060591, 101017,  105.8,   5.0,
0270200710, 060591, 100853,  132.1,   6.0,
0270200708, 060591, 100744,  141.0,   3.0,
0280200615, 071091, 105727,   50.0,   2.0,
0280200614, 071091, 105630,   77.5,   5.0,
0280200613, 071091, 105544,   98.0,   3.0,
0280200612, 071091, 105447,  110.0,   7.0,
0280200611, 071091, 105335,  120.2,   6.0,
0280200607, 071091, 105202,  130.9,   4.0,
0280200606, 071091, 105100,  139.0,   4.0,
0290201212, 081191, 072739,   49.4,   2.0,
0290201211, 081191, 072633,   77.2,   2.0,
0290201210, 081191, 072533,  101.8,   4.0,
0290201209, 081191, 072446,  111.8,   6.0,
0290201208, 081191, 072405,  117.0,   5.0,
0290201206, 081191, 072219,  131.2,   5.0,
0330201517, -00009, -00009,    7.0,   4.0,
0330201516, -00009, -00009,   26.3,   5.0,
0330201515, -00009, -00009,   26.3,   5.0,
0330201514, -00009, -00009,   45.6,   8.0,
0330201513, -00009, -00009,   76.3,  12.0,
0330201512, -00009, -00009,   81.5,  12.0,
0330201511, -00009, -00009,   86.4,  13.0,
0330201510, -00009, -00009,   91.4,  12.0,
0330201509, -00009, -00009,   96.5,  11.0,
0330201508, -00009, -00009,  101.5,   9.0,
0330201507, -00009, -00009,  101.3,   7.0,
0330201505, -00009, -00009,  126.4,   5.0,
0340201822, 021692, 085557,    7.3,   3.0,
0340201820, 021692, 085359,   27.6,   3.0,
0340201819, 021692, 085255,   47.6,   3.0,
0340201818, 021692, 085148,   77.7,   4.0,
0340201817, 021692, 085113,   82.9,   3.0,
0340201816, 021692, 085027,   88.6,   5.0,
0340201815, 021692, 084938,   93.5,   6.0,
0340201814, 021692, 084842,   98.6,   6.0,
0340201813, 021692, 084755,  103.3,   6.0,
0340201810, 021692, 084551,  126.8,   3.0,
0340201808, 021692, 084408,  146.9,   3.0,
0350200818, -00009, -00009,   13.8,   3.0,
0350200817, -00009, -00009,   26.4,   2.0,
0350200816, -00009, -00009,   46.6,   6.0,
0350200815, -00009, -00009,   79.1,   6.0,
0350200814, -00009, -00009,   91.3,   7.0,
0350200813, -00009, -00009,  100.6,   8.0,
0350200812, -00009, -00009,  105.7,  10.0,
0350200811, -00009, -00009,  110.5,  10.0,
0350200810, -00009, -00009,  115.4,   7.0,
0350200808, -00009, -00009,  131.9,   4.0,
0350200807, -00009, -00009,  142.5,   2.0,
0360201423, -00009, -00009,    7.3,   3.0,
0360201422, -00009, -00009,   28.1,   4.0,
0360201421, -00009, -00009,   48.1,   4.0,
0360201420, -00009, -00009,   78.6,   2.0,
0360201419, -00009, -00009,  104.4,   4.0,
0360201418, -00009, -00009,  114.5,   4.0,
0360201417, -00009, -00009,  124.5,   8.0,
0360201416, -00009, -00009,  129.3,  10.0,
0360201415, -00009, -00009,  134.4,   9.0,
