Hawaii Ocean Time-series : 05-Sep-2023 22:50:56
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, don, 
#, mmddyy, hhmmss, dbar, umol/kg, 
0250200518, 041091, 074802,   27.2,   4.76,
0250200517, 041091, 074701,   37.9,   4.88,
0250200516, 041091, 074557,   48.7,   5.05,
0250200515, 041091, 074428,   65.1,   5.00,
0250200514, 041091, 074317,   77.5,   4.95,
0250200513, 041091, 074223,   88.9,   4.95,
0250200512, 041091, 074123,   98.6,   4.76,
0250200511, 041091, 074027,  108.2,   4.78,
0250200510, 041091, 073931,  119.6,   4.95,
0250200509, 041091, 073841,  130.3,   4.41,
0260200420, 050891, 113631,   18.3,   4.90,
0260200418, 050891, 113524,   26.4,   5.34,
0260200417, 050891, 113413,   36.7,   5.01,
0260200416, 050891, 113254,   46.0,   4.90,
0260200415, 050891, 113151,   64.3,   6.04,
0260200414, 050891, 113100,   78.0,   4.93,
0260200413, 050891, 113007,   86.9,   4.92,
0260200412, 050891, 112835,   98.0,   4.80,
0260200411, 050891, 112740,  104.6,   4.69,
0260200410, 050891, 112641,  114.8,   4.86,
0260200409, 050891, 112543,  126.3,   4.80,
0260200408, 050891, 112431,  140.5,   4.78,
0270200623, 060591, 070845,    6.5,   5.18,
0270200620, 060591, 070701,   16.2,   5.63,
0270200619, 060591, 070603,   27.8,   5.34,
0270200618, 060591, 070512,   37.9,   5.01,
0270200617, 060591, 070421,   47.7,   5.11,
0270200616, 060591, 070315,   63.6,   5.06,
0270200615, 060591, 070211,   78.2,   4.99,
0270200614, 060591, 070106,   90.2,   4.99,
0270200613, 060591, 070010,   99.2,   4.85,
0270200612, 060591, 065911,  109.6,   5.37,
0270200611, 060591, 065819,  120.2,   5.05,
0270200610, 060591, 065723,  130.2,   5.05,
0270200609, 060591, 065633,  139.0,   4.83,
0280200521, 071091, 070401,    3.3,   4.73,
0280200520, 071091, 070313,   13.3,   6.74,
0280200518, 071091, 070208,   23.3,   4.87,
0280200517, 071091, 070122,   34.0,   4.73,
0280200516, 071091, 070037,   43.2,   4.55,
0280200515, 071091, 065939,   58.9,   4.85,
0280200514, 071091, 065843,   73.9,   4.92,
0280200513, 071091, 065751,   84.7,   4.97,
0280200512, 071091, 065656,   94.5,   4.85,
0280200511, 071091, 065603,  104.4,   4.68,
0280200510, 071091, 065511,  115.1,   4.82,
0280200509, 071091, 065405,  127.4,   5.02,
0280200508, 071091, 065257,  135.8,   5.10,
0290200620, 081091, 100225,   26.9,   6.03,
0290200618, 081091, 100104,   34.8,   5.28,
0290200617, 081091, 100003,   42.2,   5.33,
0290200616, 081091, 095848,   59.1,   5.63,
0290200615, 081091, 095735,   75.7,   5.21,
0290200614, 081091, 095639,   87.6,   5.54,
0290200613, 081091, 095545,   98.2,   5.05,
0290200612, 081091, 095417,  107.6,   5.00,
